Modulation,NbEch,TEB
NRZT,5,0.015
NRZT,20,0.006
NRZT,35,0.006
NRZT,50,0.008
NRZT,65,0.01
NRZT,80,0.007
NRZT,95,0.008
NRZT,110,0.002
NRZT,125,0.001
NRZT,140,0.0
NRZT,155,0.0
NRZT,170,0.0
NRZT,185,0.0
NRZT,200,0.0
NRZT,215,0.0
NRZT,230,0.0
NRZT,245,0.0
NRZT,260,0.0
NRZT,275,0.0
NRZT,290,0.0
NRZT,305,0.0
NRZT,320,0.0
NRZT,335,0.0
NRZT,350,0.0
NRZT,365,0.0
NRZT,380,0.0
